ID,MARCA,MODELO,VERSION,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,Comb.,Segmento,Puertas,Traccion
,ALFA ROMEO,145,1.8 TS,,,,,,,,,,,," $ 49,100 "," $ 48,000 "," $ 47,000 "," $ 46,000 "," $ 45,000 ",,,,
,ALFA ROMEO,145,1.8 TS FULL,,,,,,,,,,,," $ 50,500 "," $ 49,500 "," $ 48,500 "," $ 47,500 "," $ 46,500 ",,,,
,ALFA ROMEO,145,1.9 JTD,,,,,,,,,,,," $ 54,500 "," $ 53,000 "," $ 51,500 "," $ 50,000 ",,,,,
,ALFA ROMEO,145,2.0 QUADRIFOGLIO,,,,,,,,,,,," $ 55,500 "," $ 54,000 "," $ 52,500 "," $ 51,000 "," $ 50,000 ",,,,
,ALFA ROMEO,145,2.0 QUADRIFOGLIO FULL,,,,,,,,,,,," $ 57,000 "," $ 55,500 "," $ 54,000 "," $ 52,500 "," $ 51,500 ",,,,
,ALFA ROMEO,145,2.0 TD,,,,,,,,,,,,,,," $ 48,000 "," $ 47,000 ",,,,
,ALFA ROMEO,145,2.0 TD FULL,,,,,,,,,,,,,,," $ 49,500 "," $ 48,500 ",,,,
,ALFA ROMEO,146,1.8 TS,,,,,,,,,,,," $ 49,500 "," $ 48,500 "," $ 47,500 "," $ 46,500 "," $ 45,500 ",,,,
,ALFA ROMEO,146,1.8 TS FULL,,,,,,,,,,,," $ 51,000 "," $ 50,000 "," $ 49,000 "," $ 48,000 "," $ 47,000 ",,,,
,ALFA ROMEO,146,1.9 JTD,,,,,,,,,,,," $ 55,000 "," $ 53,500 "," $ 52,000 "," $ 50,500 ",,,,,
,ALFA ROMEO,146,1.9 JTD TC,,,,,,,,,,,," $ 56,000 "," $ 54,500 "," $ 53,000 "," $ 51,500 ",,,,,
,ALFA ROMEO,146,2.0 TD,,,,,,,,,,,,,,," $ 48,500 "," $ 47,500 ",,,,
,ALFA ROMEO,146,2.0 TD FULL,,,,,,,,,,,,,," $ 51,000 "," $ 50,000 "," $ 49,000 ",,,,
,ALFA ROMEO,146,2.0 TI,,,,,,,,,,,,,," $ 48,500 "," $ 47,500 "," $ 46,500 ",,,,
,ALFA ROMEO,146,2.0 TI FULL,,,,,,,,,,,,,," $ 50,000 "," $ 49,000 "," $ 48,000 ",,,,
,ALFA ROMEO,147,1.9 JTD 5 PTAS,,,,,,,," $ 119,000 "," $ 115,000 "," $ 111,000 "," $ 107,000 "," $ 104,000 ",,,,,,,,
,ALFA ROMEO,147,1.9 JTD 5 PTAS TC CU,,,,,,,," $ 123,000 "," $ 119,000 "," $ 115,000 "," $ 111,000 "," $ 107,000 ",,,,,,,,
,ALFA ROMEO,147,2.0 TS 5 PTAS,,,,,,,," $ 116,000 "," $ 112,000 "," $ 108,000 "," $ 104,000 "," $ 100,000 ",,,,,,,,
,ALFA ROMEO,147,2.0 TS 5 PTAS TYC CU,,,,,,,," $ 12,000 "," $ 116,000 "," $ 112,000 "," $ 108,000 "," $ 105,000 ",,,,,,,,
,ALFA ROMEO,147,2.0 TS 5 PTAS  SELESPEED,,,,,,,," $ 127,000 "," $ 123,000 "," $ 119,000 "," $ 115,000 "," $ 111,000 ",,,,,,,,
,ALFA ROMEO,147,1.6 TS 3 PTAS PROGESSION,,,,," $ 126,000 "," $ 120,000 "," $ 115,000 ",,,,,,,,,,,,,
,ALFA ROMEO,147,1.6 TS 5 PTAS DISTINCTIVE,,,,,," $ 129,000 ",,,,,,,,,,,,,,
,ALFA ROMEO,147,1.6 TS 5 PTAS PROGRESSION,,,,," $ 132,000 "," $ 127,000 "," $ 122,000 ",,,,,,,,,,,,,
,ALFA ROMEO,147,1.9 JTDM 5 PTAS DISTINCTIVE,,,,," $ 146,000 "," $ 141,000 "," $ 136,000 ",,,,,,,,,,,,,
,ALFA ROMEO,147,2.0 TS 3 PTAS DISTINCTIVE,,,,,," $ 134,000 ",,,,,,,,,,,,,,
,ALFA ROMEO,147,2.0 TS 5 PTAS DISTINCTIVE,,," $ 156,000 "," $ 150,000 "," $ 144,000 "," $ 139,000 "," $ 134,000 ",,,,,,,,,,,,,
,ALFA ROMEO,147,2.0 TS 5 PTAS DISTINCTIVE SS,,," $ 160,000 "," $ 154,000 "," $ 148,000 "," $ 144,000 "," $ 138,000 ",,,,,,,,,,,,,
,ALFA ROMEO,155,2.0 SUPER,,,,,,,,,,,,,,,," $ 47,500 ",,,,
,ALFA ROMEO,155,2.0 SUPER FULL,,,,,,,,,,,,,,,," $ 49,000 ",,,,
,ALFA ROMEO,156,2.0 TS,,,,,,,,,," $ 78,000 "," $ 74,000 "," $ 70,000 "," $ 67,000 "," $ 64,000 "," $ 61,000 "," $ 59,000 ",,,,
,ALFA ROMEO,156,2.0 TS  SPORTWAGON,,,,,,,,,," $ 80,000 "," $ 76,000 "," $ 72,000 "," $ 69,000 ",,,,,,,
,ALFA ROMEO,156,2.0 TS TC CU,,,,,,,,,," $ 81,000 "," $ 77,000 "," $ 73,000 "," $ 70,000 "," $ 67,000 "," $ 64,000 "," $ 62,000 ",,,,
,ALFA ROMEO,156,2.0 TS TC CU KIT SPORT,,,,,,,,,,,," $ 74,000 "," $ 71,000 "," $ 68,000 "," $ 65,000 "," $ 63,000 ",,,,
,ALFA ROMEO,156,2.0 TS FACE III CU.,,,,,,,," $ 97,000 "," $ 91,000 ",,,,,,,,,,,
,ALFA ROMEO,156,2.0 TS FACE III CU. SELESPEED,,,,,,,," $ 102,000 "," $ 96,000 ",,,,,,,,,,,
,ALFA ROMEO,156,2.4 JTD,,,,,,,,,," $ 84,000 "," $ 80,000 "," $ 76,000 "," $ 73,000 "," $ 70,000 "," $ 67,000 "," $ 65,000 ",,,,
,ALFA ROMEO,156,2.4 JTD SPORTWAGON,,,,,,,,,,," $ 82,000 "," $ 78,000 "," $ 75,000 ",,,,,,,
,ALFA ROMEO,156,2.4 JTD TC,,,,,,,,,," $ 85,000 "," $ 81,000 "," $ 77,000 "," $ 74,000 "," $ 71,000 "," $ 68,000 "," $ 66,000 ",,,,
,ALFA ROMEO,156,2.5 V6,,,,,,,,,," $ 89,000 "," $ 85,000 "," $ 81,000 "," $ 78,000 "," $ 75,000 "," $ 72,000 ",,,,,
,ALFA ROMEO,156,2.5 V6  AUT SPORTRONIC,,,,,,,,,,,,,,," $ 74,000 ",,,,,
,ALFA ROMEO,156,2.5 V6 KIT SPOT,,,,,,,,,,,," $ 82,000 "," $ 79,000 "," $ 76,000 "," $ 73,000 ",,,,,
,ALFA ROMEO,156,2.5 V6 SPORTWAGON,,,,,,,,,," $ 91,000 "," $ 87,000 "," $ 83,000 "," $ 80,000 ",,,,,,,
,ALFA ROMEO,156,2.5 V6 FASE III,,,,,,,," $ 116,000 "," $ 112,000 ",,,,,,,,,,,
,ALFA ROMEO,159,1.8 TBI DISTINCTIVE 200 CV," $ 285,000 "," $ 270,000 "," $ 255,000 ",,,,,,,,,,,,,,,,,
,ALFA ROMEO,159,1.8 TS PROGESSION,,,," $ 215,000 "," $ 205,000 ",,,,,,,,,,,,,,,
,ALFA ROMEO,159,1.9 JTD PROGESSION,,,,," $ 215,000 "," $ 205,000 "," $ 195,000 "," $ 185,000 ",,,,,,,,,,,,
,ALFA ROMEO,159,2.2 JTS PROGESSION,,,,," $ 205,000 "," $ 195,000 "," $ 185,000 "," $ 175,000 ",,,,,,,,,,,,
,ALFA ROMEO,159,2.2 JTS PROGESSION PACK STILE,,,,," $ 210,000 "," $ 200,000 "," $ 190,000 ",,,,,,,,,,,,,
,ALFA ROMEO,159,2.2 JTS SELEESPEED DISTINCTIVE," $ 275,000 "," $ 260,000 "," $ 245,000 "," $ 235,000 "," $ 225,000 ",,,,,,,,,,,,,,,
,ALFA ROMEO,159,3.2 JTS HIGHT 4X4 ELEGANT AUT," $ 315,000 "," $ 300,000 "," $ 285,000 "," $ 270,000 "," $ 255,000 "," $ 240,000 "," $ 225,000 "," $ 215,000 ",,,,,,,,,,,,
,ALFA ROMEO,166,3.0 V6 24V,,,,,,,,,," $ 108,000 "," $ 104,000 "," $ 100,000 "," $ 96,000 "," $ 92,000 "," $ 88,000 ",,,,,
,ALFA ROMEO,166,3.0 V6 24V AUT SPORTRONIC,,,,,,,,,," $ 111,000 "," $ 107,000 "," $ 103,000 "," $ 99,000 "," $ 95,000 "," $ 91,000 ",,,,,
,ALFA ROMEO,BRERA,2.2 JTS SELEESPEED,," $ 370,000 "," $ 350,000 "," $ 330,000 "," $ 310,000 ",,,,,,,,,,,,,,,
,ALFA ROMEO,BRERA,2.2 JTS SKY VIEW,,,,," $ 305,000 "," $ 290,000 "," $ 275,000 ",,,,,,,,,,,,,
,ALFA ROMEO,BRERA,3.2 MD 4X4 AUT.,," $ 410,000 "," $ 390,000 "," $ 370,000 "," $ 350,000 "," $ 330,000 "," $ 310,000 ",,,,,,,,,,,,,
,ALFA ROMEO,GUILIETTA,1.4 DISTINCT 120CV," $ 290,000 "," $ 275,000 "," $ 260,000 ",,,,,,,,,,,,,,,,,
,ALFA ROMEO,GUILIETTA,1.4 DISTINCT 170CV," $ 310,000 "," $ 290,000 "," $ 270,000 ",,,,,,,,,,,,,,,,,
,ALFA ROMEO,GUILIETTA,1.4 DISTINCT 170CV AUT," $ 340,000 "," $ 315,000 "," $ 295,000 ",,,,,,,,,,,,,,,,,
,ALFA ROMEO,GUILIETTA,1.4 DISTINCT 170CV TC," $ 325,000 "," $ 305,000 "," $ 285,000 ",,,,,,,,,,,,,,,,,
,ALFA ROMEO,GUILIETTA,1.4 DISTINCT 170CV TC AT," $ 355,000 "," $ 330,000 "," $ 310,000 ",,,,,,,,,,,,,,,,,
,ALFA ROMEO,GUILIETTA,1.4 PROGRESSION 120CV," $ 275,000 "," $ 260,000 "," $ 245,000 ",,,,,,,,,,,,,,,,,
